device_id,customer_id,device_type,operating_system,browser,ip_address,country,trusted_device,first_seen,last_seen
1,1,MOBILE,Android,Firefox,129.153.198.180,Côte d'Ivoire,YES,2023-11-30,2026-07-11
2,1,LAPTOP,Android,Chrome,113.163.209.250,Côte d'Ivoire,YES,2026-03-19,2026-07-04
3,1,MOBILE,Android,Chrome,130.8.186.60,Côte d'Ivoire,YES,2021-10-29,2026-07-04
4,2,MOBILE,iOS,Safari,112.108.176.251,Côte d'Ivoire,YES,2026-05-07,2026-07-09
5,2,TABLET,Android,Edge,189.108.180.212,Côte d'Ivoire,YES,2023-06-13,2026-07-21
6,2,TABLET,Windows,Edge,128.106.121.199,Côte d'Ivoire,YES,2022-12-07,2026-07-20
7,3,MOBILE,Android,Safari,41.243.96.76,Côte d'Ivoire,YES,2023-05-28,2026-07-16
8,3,TABLET,Windows,Chrome,88.80.186.159,Côte d'Ivoire,YES,2022-05-25,2026-07-17
9,4,MOBILE,macOS,Chrome,168.135.111.71,Côte d'Ivoire,YES,2021-12-10,2026-07-22
10,4,TABLET,iOS,Chrome,7.7.61.8,Côte d'Ivoire,YES,2022-03-30,2026-07-26
11,4,LAPTOP,Windows,Chrome,55.37.7.60,Côte d'Ivoire,YES,2026-06-26,2026-07-09
12,5,DESKTOP,Windows,Safari,130.238.201.102,Côte d'Ivoire,YES,2023-07-07,2026-07-14
13,6,LAPTOP,Windows,Firefox,196.238.96.187,Côte d'Ivoire,YES,2022-06-07,2026-07-18
14,6,TABLET,Android,Edge,125.117.150.145,Côte d'Ivoire,YES,2022-12-16,2026-07-17
15,7,LAPTOP,macOS,Safari,49.22.42.33,Côte d'Ivoire,YES,2022-03-07,2026-07-29
16,8,LAPTOP,Windows,Chrome,143.170.251.114,Côte d'Ivoire,YES,2022-12-18,2026-07-22
17,8,MOBILE,Windows,Safari,46.14.44.201,Côte d'Ivoire,YES,2024-05-01,2026-07-02
18,8,LAPTOP,Windows,Edge,112.131.123.138,Côte d'Ivoire,YES,2024-04-04,2026-07-19
19,9,DESKTOP,iOS,Firefox,121.176.23.197,Côte d'Ivoire,YES,2026-05-26,2026-07-15
20,9,TABLET,macOS,Safari,100.255.205.158,Côte d'Ivoire,YES,2024-12-09,2026-07-22
21,10,DESKTOP,Android,Chrome,72.239.180.7,Côte d'Ivoire,YES,2023-09-03,2026-07-27
22,11,LAPTOP,macOS,Chrome,7.109.110.182,Côte d'Ivoire,YES,2024-12-20,2026-07-17
23,12,DESKTOP,Windows,Chrome,114.54.155.88,Côte d'Ivoire,YES,2025-11-28,2026-07-23
24,12,MOBILE,Windows,Firefox,67.3.244.101,Côte d'Ivoire,YES,2022-07-04,2026-07-07
25,12,DESKTOP,iOS,Safari,155.4.171.58,Côte d'Ivoire,YES,2022-02-11,2026-07-18
26,13,TABLET,iOS,Chrome,61.244.135.128,Côte d'Ivoire,YES,2026-01-27,2026-07-12
27,13,TABLET,iOS,Edge,194.11.193.174,Côte d'Ivoire,YES,2022-07-19,2026-07-26
28,13,LAPTOP,Android,Firefox,186.226.183.173,Côte d'Ivoire,YES,2022-07-10,2026-07-14
29,14,TABLET,Windows,Edge,30.132.231.148,Côte d'Ivoire,YES,2021-08-08,2026-07-12
30,15,MOBILE,Android,Safari,194.182.240.132,Côte d'Ivoire,YES,2025-11-22,2026-07-05
31,15,LAPTOP,iOS,Safari,217.140.220.21,Côte d'Ivoire,NO,2025-11-22,2026-07-29
32,15,LAPTOP,Windows,Safari,103.126.227.69,Côte d'Ivoire,NO,2022-12-12,2026-07-26
33,16,LAPTOP,Windows,Safari,200.0.149.235,Côte d'Ivoire,NO,2024-05-01,2026-07-23
34,16,TABLET,macOS,Safari,87.59.19.173,Côte d'Ivoire,YES,2024-03-10,2026-07-11
35,16,LAPTOP,Android,Firefox,69.10.91.1,Côte d'Ivoire,YES,2022-04-21,2026-07-23
36,17,LAPTOP,iOS,Chrome,162.3.29.117,Côte d'Ivoire,YES,2022-08-31,2026-07-23
37,17,MOBILE,iOS,Chrome,200.169.23.10,Côte d'Ivoire,NO,2023-10-30,2026-07-25
38,17,TABLET,Android,Edge,221.138.88.147,Côte d'Ivoire,YES,2023-05-18,2026-07-26
39,18,LAPTOP,iOS,Safari,182.111.212.91,Côte d'Ivoire,YES,2024-03-23,2026-07-19
40,18,DESKTOP,macOS,Edge,199.191.48.248,Côte d'Ivoire,YES,2025-04-20,2026-07-25
41,19,DESKTOP,Windows,Safari,23.238.215.195,Côte d'Ivoire,YES,2023-06-27,2026-07-03
42,19,MOBILE,Android,Chrome,46.186.51.36,Côte d'Ivoire,YES,2023-06-13,2026-06-30
43,19,TABLET,Android,Edge,67.196.150.120,Côte d'Ivoire,YES,2023-07-10,2026-07-03
44,20,DESKTOP,iOS,Safari,218.146.222.199,Côte d'Ivoire,YES,2022-03-06,2026-07-24
45,20,DESKTOP,iOS,Chrome,119.196.65.254,Côte d'Ivoire,YES,2023-05-25,2026-07-26
46,20,MOBILE,Android,Chrome,94.64.61.254,Côte d'Ivoire,NO,2023-08-22,2026-07-22
47,21,LAPTOP,macOS,Safari,163.11.235.69,Côte d'Ivoire,YES,2022-05-18,2026-07-04
