merchant_id,merchant_name,merchant_type,city,country,registration_date,risk_level
1,Laurent et Fils,RESTAURANT,Abidjan,Côte d'Ivoire,2016-04-02,MEDIUM
2,Hubert Joly et Fils,FUEL_STATION,Bouake,Côte d'Ivoire,2013-04-26,LOW
3,Maury S.A.R.L.,RESTAURANT,Man,Côte d'Ivoire,2012-02-12,MEDIUM
4,Morin S.A.,ELECTRONICS,Abidjan,Côte d'Ivoire,2015-07-14,LOW
5,Guilbert S.A.,SUPERMARKET,Abidjan,Côte d'Ivoire,2023-10-04,LOW
6,Vasseur,FUEL_STATION,Korhogo,Côte d'Ivoire,2019-03-21,LOW
7,Robert,ELECTRONICS,Bouake,Côte d'Ivoire,2024-06-26,MEDIUM
8,Rocher Briand SARL,ELECTRONICS,San Pedro,Côte d'Ivoire,2016-04-20,LOW
9,Fabre Ledoux SARL,CLOTHING,Yamoussoukro,Côte d'Ivoire,2013-04-25,MEDIUM
10,Gillet SA,SUPERMARKET,Daloa,Côte d'Ivoire,2017-09-06,MEDIUM
11,Texier,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2016-01-28,LOW
12,Chauveau S.A.R.L.,FUEL_STATION,Daloa,Côte d'Ivoire,2020-09-12,LOW
13,Hoareau SA,RESTAURANT,San Pedro,Côte d'Ivoire,2020-12-19,LOW
14,Techer,HOTEL,Korhogo,Côte d'Ivoire,2022-02-05,LOW
15,Verdier,SUPERMARKET,Man,Côte d'Ivoire,2014-11-05,LOW
16,Lambert et Fils,RESTAURANT,San Pedro,Côte d'Ivoire,2015-06-15,LOW
17,Chevalier,E_COMMERCE,Daloa,Côte d'Ivoire,2026-02-15,LOW
18,Roussel Gillet SARL,HOTEL,Korhogo,Côte d'Ivoire,2019-04-16,LOW
19,Goncalves,RESTAURANT,Abidjan,Côte d'Ivoire,2017-11-15,LOW
20,Lacroix,E_COMMERCE,Abidjan,Côte d'Ivoire,2022-12-23,MEDIUM
21,Boutin,RESTAURANT,San Pedro,Côte d'Ivoire,2023-03-16,LOW
22,Raynaud et Fils,HOTEL,Bouake,Côte d'Ivoire,2014-06-27,LOW
23,Goncalves Pinto S.A.R.L.,FUEL_STATION,Man,Côte d'Ivoire,2016-03-02,LOW
24,Pottier Germain SA,RESTAURANT,Korhogo,Côte d'Ivoire,2015-06-22,LOW
25,Gomes S.A.R.L.,ELECTRONICS,Man,Côte d'Ivoire,2016-02-17,LOW
26,Lecomte S.A.S.,TELECOM,San Pedro,Côte d'Ivoire,2026-06-26,LOW
27,Lecomte,ELECTRONICS,Bouake,Côte d'Ivoire,2022-09-22,LOW
28,Delaunay,SUPERMARKET,Bouake,Côte d'Ivoire,2022-07-06,MEDIUM
29,Meunier,HOTEL,San Pedro,Côte d'Ivoire,2016-01-30,LOW
30,Hoarau Vallet S.A.S.,FUEL_STATION,Korhogo,Côte d'Ivoire,2020-09-29,MEDIUM
31,Letellier,HOTEL,Bouake,Côte d'Ivoire,2021-07-09,LOW
32,Guillon,TRANSPORT,Man,Côte d'Ivoire,2018-05-15,LOW
33,Vasseur,E_COMMERCE,Bouake,Côte d'Ivoire,2013-12-05,LOW
34,Robin,ELECTRONICS,Korhogo,Côte d'Ivoire,2024-06-07,LOW
35,Masson S.A.,CLOTHING,San Pedro,Côte d'Ivoire,2022-04-01,MEDIUM
36,Bazin Briand S.A.S.,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2012-08-27,LOW
37,Weber,PHARMACY,Korhogo,Côte d'Ivoire,2021-09-17,LOW
38,Evrard,SUPERMARKET,Daloa,Côte d'Ivoire,2015-11-08,LOW
39,Bazin et Fils,PHARMACY,Daloa,Côte d'Ivoire,2013-07-10,LOW
40,Lecoq,CLOTHING,Abidjan,Côte d'Ivoire,2022-06-24,LOW
41,Marie,CLOTHING,San Pedro,Côte d'Ivoire,2016-07-26,LOW
42,Barbier,ELECTRONICS,Daloa,Côte d'Ivoire,2019-04-18,MEDIUM
43,Mace et Fils,RESTAURANT,Man,Côte d'Ivoire,2016-01-21,MEDIUM
44,Guillou Gautier et Fils,E_COMMERCE,Daloa,Côte d'Ivoire,2016-08-26,LOW
45,Brunet Besson S.A.,RESTAURANT,Yamoussoukro,Côte d'Ivoire,2020-10-01,LOW
46,Joseph SARL,TELECOM,Abidjan,Côte d'Ivoire,2019-11-21,HIGH
47,Marie SARL,E_COMMERCE,Korhogo,Côte d'Ivoire,2026-07-11,MEDIUM
48,Dupuis,ELECTRONICS,Abidjan,Côte d'Ivoire,2012-07-23,MEDIUM
49,Duhamel Chevalier SA,E_COMMERCE,Daloa,Côte d'Ivoire,2024-01-10,LOW
50,Muller,CLOTHING,Bouake,Côte d'Ivoire,2024-07-07,LOW
51,Rodriguez Delmas S.A.R.L.,PHARMACY,Korhogo,Côte d'Ivoire,2020-12-05,HIGH
52,Aubry Evrard S.A.S.,ELECTRONICS,Abidjan,Côte d'Ivoire,2018-10-10,LOW
53,Gimenez Faivre et Fils,TELECOM,Abidjan,Côte d'Ivoire,2023-04-24,LOW
54,Delannoy Langlois S.A.R.L.,HOTEL,Daloa,Côte d'Ivoire,2023-01-01,MEDIUM
55,Navarro,FUEL_STATION,Abidjan,Côte d'Ivoire,2020-05-19,LOW
56,Mathieu,CLOTHING,Abidjan,Côte d'Ivoire,2015-10-17,LOW
57,Andre Maillot SA,TELECOM,Daloa,Côte d'Ivoire,2021-08-01,LOW
58,Pruvost Vasseur SA,ELECTRONICS,Daloa,Côte d'Ivoire,2012-10-13,LOW
59,Rolland SA,TELECOM,Korhogo,Côte d'Ivoire,2012-02-10,LOW
60,Guérin,ELECTRONICS,Daloa,Côte d'Ivoire,2020-04-27,LOW
61,Lopes Laroche S.A.R.L.,FUEL_STATION,Korhogo,Côte d'Ivoire,2015-03-22,MEDIUM
62,Ramos Masse S.A.S.,FUEL_STATION,Man,Côte d'Ivoire,2019-08-14,LOW
63,Reynaud Cordier S.A.,HOTEL,San Pedro,Côte d'Ivoire,2013-03-07,MEDIUM
64,Delmas S.A.R.L.,TELECOM,Abidjan,Côte d'Ivoire,2017-08-08,LOW
65,Bouchet,RESTAURANT,Yamoussoukro,Côte d'Ivoire,2019-07-09,LOW
66,Maillet et Fils,ELECTRONICS,Bouake,Côte d'Ivoire,2022-07-27,LOW
67,Bonnet S.A.R.L.,SUPERMARKET,Abidjan,Côte d'Ivoire,2023-12-18,MEDIUM
68,Nicolas,SUPERMARKET,Bouake,Côte d'Ivoire,2015-10-22,LOW
69,Aubert Regnier S.A.R.L.,SUPERMARKET,Daloa,Côte d'Ivoire,2013-12-17,LOW
70,Vidal,ELECTRONICS,Bouake,Côte d'Ivoire,2016-04-24,LOW
71,Menard,TELECOM,Bouake,Côte d'Ivoire,2026-06-14,LOW
72,Pichon S.A.S.,CLOTHING,Korhogo,Côte d'Ivoire,2013-03-29,LOW
73,Gilles S.A.S.,TELECOM,Daloa,Côte d'Ivoire,2025-10-18,LOW
74,Morin S.A.,RESTAURANT,Abidjan,Côte d'Ivoire,2014-05-28,LOW
75,Vallée,HOTEL,San Pedro,Côte d'Ivoire,2019-10-07,LOW
76,Maréchal Lopez S.A.,SUPERMARKET,Man,Côte d'Ivoire,2018-01-08,LOW
77,Perrier SARL,RESTAURANT,Abidjan,Côte d'Ivoire,2024-11-30,LOW
78,Renault,HOTEL,Daloa,Côte d'Ivoire,2018-10-09,MEDIUM
79,Meyer,FUEL_STATION,Bouake,Côte d'Ivoire,2014-10-21,LOW
80,Carpentier,TELECOM,Bouake,Côte d'Ivoire,2012-07-27,LOW
81,Letellier SARL,E_COMMERCE,San Pedro,Côte d'Ivoire,2012-07-19,LOW
82,Mary S.A.R.L.,RESTAURANT,San Pedro,Côte d'Ivoire,2020-02-17,MEDIUM
83,Boyer Grégoire SA,ELECTRONICS,Abidjan,Côte d'Ivoire,2026-01-22,LOW
84,Muller Valentin SA,ELECTRONICS,Daloa,Côte d'Ivoire,2023-01-23,LOW
85,Antoine Mathieu S.A.S.,RESTAURANT,Daloa,Côte d'Ivoire,2015-10-06,MEDIUM
86,Legendre SA,PHARMACY,San Pedro,Côte d'Ivoire,2018-09-15,LOW
87,Bertin,FUEL_STATION,Daloa,Côte d'Ivoire,2015-01-19,LOW
88,Dupuis,SUPERMARKET,Bouake,Côte d'Ivoire,2016-02-04,LOW
89,Payet,TRANSPORT,Yamoussoukro,Côte d'Ivoire,2023-01-01,MEDIUM
90,Albert,TELECOM,Yamoussoukro,Côte d'Ivoire,2016-12-14,LOW
91,Petit S.A.R.L.,ELECTRONICS,Man,Côte d'Ivoire,2022-02-21,MEDIUM
92,Legrand S.A.S.,PHARMACY,Bouake,Côte d'Ivoire,2015-03-15,LOW
93,Payet,SUPERMARKET,Korhogo,Côte d'Ivoire,2017-07-06,MEDIUM
94,Moulin SARL,SUPERMARKET,Man,Côte d'Ivoire,2016-06-03,LOW
95,Navarro Devaux et Fils,SUPERMARKET,Korhogo,Côte d'Ivoire,2016-09-20,LOW
96,Martineau S.A.S.,ELECTRONICS,Bouake,Côte d'Ivoire,2016-09-01,LOW
97,Lucas SARL,ELECTRONICS,Abidjan,Côte d'Ivoire,2013-07-16,MEDIUM
98,Bernier S.A.S.,RESTAURANT,Korhogo,Côte d'Ivoire,2014-03-21,LOW
99,Carre,FUEL_STATION,San Pedro,Côte d'Ivoire,2021-11-12,LOW
100,Wagner Le Goff S.A.,CLOTHING,Bouake,Côte d'Ivoire,2023-04-09,LOW
101,Bodin,SUPERMARKET,Korhogo,Côte d'Ivoire,2019-11-20,LOW
102,Roux,CLOTHING,Korhogo,Côte d'Ivoire,2013-02-22,LOW
103,Baron,E_COMMERCE,Bouake,Côte d'Ivoire,2012-04-28,LOW
104,Le Roux S.A.,HOTEL,Bouake,Côte d'Ivoire,2022-05-31,LOW
105,Renard,PHARMACY,Man,Côte d'Ivoire,2024-03-08,LOW
106,Courtois,TELECOM,Yamoussoukro,Côte d'Ivoire,2023-07-31,MEDIUM
107,Guilbert,RESTAURANT,Abidjan,Côte d'Ivoire,2011-09-28,LOW
108,Sanchez et Fils,CLOTHING,Abidjan,Côte d'Ivoire,2014-02-10,LOW
109,Lemaître S.A.S.,FUEL_STATION,Korhogo,Côte d'Ivoire,2020-12-22,LOW
110,Perret Rodriguez SA,HOTEL,Abidjan,Côte d'Ivoire,2016-10-26,MEDIUM
111,Fournier,HOTEL,Yamoussoukro,Côte d'Ivoire,2017-08-30,LOW
112,Normand Menard et Fils,ELECTRONICS,Man,Côte d'Ivoire,2013-04-28,LOW
113,Valette,ELECTRONICS,Abidjan,Côte d'Ivoire,2021-02-05,LOW
114,Legendre,ELECTRONICS,Yamoussoukro,Côte d'Ivoire,2024-04-29,MEDIUM
115,Gomez Goncalves S.A.,RESTAURANT,Bouake,Côte d'Ivoire,2026-07-27,LOW
116,Laurent,RESTAURANT,Man,Côte d'Ivoire,2014-08-17,LOW
117,Bouchet,E_COMMERCE,Yamoussoukro,Côte d'Ivoire,2025-03-22,LOW
118,Da Costa Leroux et Fils,HOTEL,Bouake,Côte d'Ivoire,2013-05-31,LOW
119,Morel,E_COMMERCE,Korhogo,Côte d'Ivoire,2026-03-08,LOW
