transaction_id,customer_id,account_id,merchant_id,device_id,transaction_date,transaction_type,amount,location,is_fraud,fraud_reason
1,7318,14652,982,19493,2025-12-09 14:53:21,PAYMENT,639607.09,Bouake,0,
2,3294,6570,3389,10426,2024-10-25 10:28:16,PAYMENT,223599.13,Korhogo,0,
3,8008,16080,3373,1946,2024-08-19 09:20:38,DEPOSIT,87395.36,Abidjan,0,
4,559,1108,3476,6753,2026-02-26 22:36:46,PAYMENT,219028.66,Korhogo,0,
5,5558,11110,2887,8620,2025-03-01 14:01:40,DEPOSIT,419810.06,Abidjan,0,
6,3107,6188,3111,8727,2025-02-06 04:13:29,TRANSFER,758927.96,Yamoussoukro,0,
7,7185,14394,1933,9612,2025-01-20 08:03:34,TRANSFER,278232.41,Abidjan,1,Unusual location
8,9000,18081,1680,5347,2024-11-16 08:17:06,PAYMENT,93199.47,Yamoussoukro,0,
9,4803,9597,2355,15203,2026-02-22 23:55:41,PAYMENT,603924.17,Korhogo,0,
10,5352,10687,4907,7829,2024-10-18 13:45:29,DEPOSIT,125263.75,Yamoussoukro,0,
11,5853,11692,2407,8873,2026-01-07 13:42:08,WITHDRAWAL,829489.96,Abidjan,0,
12,7704,15439,2534,16629,2026-02-26 06:09:25,TRANSFER,46301.47,Abidjan,0,
13,2300,4614,1728,16338,2026-06-23 22:32:32,PAYMENT,855390.06,San Pedro,0,
14,5463,10921,3568,13133,2025-09-27 13:28:43,WITHDRAWAL,635866.6,Yamoussoukro,0,
15,7294,14603,3935,9129,2024-10-06 11:46:01,WITHDRAWAL,209902.28,Abidjan,0,
16,585,1164,4058,10658,2025-11-01 14:41:16,TRANSFER,609326.44,Bouake,0,
17,4372,8711,4694,8465,2025-06-23 16:18:09,DEPOSIT,163820.79,Korhogo,0,
18,8031,16126,920,11143,2024-08-24 15:34:54,WITHDRAWAL,220005.37,Abidjan,0,
19,4733,9450,2777,12236,2024-08-23 02:34:12,PAYMENT,229433.55,San Pedro,0,
20,2179,4378,243,97,2024-10-11 17:42:56,TRANSFER,268107.01,Korhogo,0,
21,6296,12587,1118,8656,2025-01-16 18:49:01,WITHDRAWAL,876429.44,San Pedro,0,
22,716,1437,4064,18202,2025-01-27 16:13:23,DEPOSIT,395934.09,Bouake,0,
23,1443,2904,1276,9041,2025-08-27 11:36:54,WITHDRAWAL,247004.19,San Pedro,0,
24,8308,16690,2949,14168,2025-11-10 13:33:08,DEPOSIT,897873.97,Bouake,0,
25,1145,2311,554,12740,2024-08-20 13:46:33,PAYMENT,509771.53,Abidjan,0,
26,2108,4236,108,4194,2025-10-09 21:28:33,TRANSFER,153264.9,San Pedro,0,
27,4322,8613,3206,11385,2025-01-01 09:42:43,DEPOSIT,596610.83,San Pedro,0,
28,1196,2418,1258,10380,2026-02-07 02:40:57,PAYMENT,529349.79,Abidjan,0,
29,6075,12145,3147,12601,2025-12-17 17:50:01,WITHDRAWAL,681869.51,Yamoussoukro,0,
30,3615,7190,4052,13813,2026-01-26 16:45:17,DEPOSIT,111996.4,Abidjan,0,
31,8021,16104,4719,12133,2025-09-27 05:33:18,WITHDRAWAL,953839.02,Korhogo,1,Unknown device
32,5876,11738,1489,11112,2025-06-21 19:31:33,WITHDRAWAL,912671.53,Korhogo,0,
33,5994,11987,2608,11310,2025-01-18 04:25:14,TRANSFER,609165.73,Bouake,0,
34,77,142,910,16076,2025-07-14 20:58:23,PAYMENT,539609.34,San Pedro,0,
35,7219,14463,3849,1885,2025-10-31 15:49:05,WITHDRAWAL,19967.0,Yamoussoukro,0,
36,4528,9038,2517,15916,2025-03-04 00:57:37,TRANSFER,239832.58,Abidjan,0,
37,7447,14912,1643,652,2026-04-20 15:59:13,DEPOSIT,86110.63,Korhogo,0,
38,785,1581,3743,9979,2026-06-06 04:02:32,TRANSFER,765951.51,Korhogo,0,
39,7401,14816,2813,3153,2024-08-05 00:15:19,DEPOSIT,165544.4,Bouake,1,Suspicious merchant
40,770,1547,1919,13705,2026-03-12 08:18:15,DEPOSIT,713092.5,San Pedro,1,Unusual location
41,1297,2607,607,13960,2026-04-17 20:40:09,DEPOSIT,899664.28,Bouake,0,
42,6123,12246,3447,9310,2024-12-01 23:22:30,PAYMENT,64493.88,Bouake,0,
43,1945,3920,1739,11570,2026-01-24 05:22:16,PAYMENT,588645.89,Abidjan,0,
44,3432,6842,1900,12612,2025-06-24 05:12:47,PAYMENT,229327.31,Abidjan,0,
45,3146,6267,4843,4815,2025-04-21 05:50:20,WITHDRAWAL,514399.04,Bouake,0,
46,7477,14979,1808,6752,2025-03-03 19:00:25,DEPOSIT,539464.31,San Pedro,0,
47,535,1061,3910,18493,2024-11-28 17:27:27,TRANSFER,807593.25,San Pedro,0,
48,2818,5644,144,18164,2025-01-14 04:50:56,DEPOSIT,354620.42,Abidjan,0,
49,2412,4843,2479,7938,2026-03-15 23:40:18,PAYMENT,673527.87,Yamoussoukro,0,
50,6612,13246,2887,13765,2025-04-18 09:41:12,PAYMENT,800692.21,Bouake,0,
51,8044,16149,4905,14436,2024-10-18 08:26:50,TRANSFER,536517.61,Yamoussoukro,0,
52,8828,17718,3337,908,2024-10-11 00:01:04,PAYMENT,462896.75,Korhogo,0,
53,9476,19048,130,19536,2025-05-22 01:28:05,PAYMENT,98359.77,Bouake,1,Unknown device
54,2568,5155,1377,11032,2024-10-14 02:02:02,DEPOSIT,406710.85,San Pedro,0,
55,5297,10576,878,935,2025-05-05 18:58:14,TRANSFER,902491.64,San Pedro,0,
56,7286,14589,4028,5009,2026-05-20 05:33:00,DEPOSIT,265570.46,Korhogo,0,
57,5387,10765,723,15808,2025-04-24 02:54:33,DEPOSIT,662040.38,Yamoussoukro,0,
58,8122,16304,1287,3956,2025-11-11 21:22:44,PAYMENT,218092.05,Korhogo,0,
59,1078,2169,4309,747,2025-02-21 10:08:10,WITHDRAWAL,61427.09,Korhogo,0,
60,1738,3518,3410,3170,2026-04-18 21:04:17,TRANSFER,477050.12,Korhogo,0,
61,8045,16152,3483,15755,2024-09-02 17:05:05,TRANSFER,80571.41,Abidjan,0,
62,5223,10420,4855,17218,2026-02-17 18:17:47,TRANSFER,675374.95,Korhogo,0,
63,5076,10136,2881,2707,2025-07-22 19:24:37,PAYMENT,246592.24,San Pedro,0,
64,1754,3546,93,9321,2025-09-20 11:07:34,WITHDRAWAL,657544.48,Bouake,0,
65,7141,14307,4368,6817,2024-11-04 22:02:17,WITHDRAWAL,669891.11,San Pedro,0,
66,7737,15502,1162,46,2026-07-17 07:56:30,WITHDRAWAL,131312.84,Abidjan,0,
67,4847,9681,1318,8445,2025-05-20 23:30:08,PAYMENT,9810.8,Bouake,0,
68,1750,3541,3584,9488,2024-09-30 04:03:07,TRANSFER,506131.75,Abidjan,0,
69,1663,3356,4524,15449,2025-10-02 17:53:35,WITHDRAWAL,879330.61,San Pedro,0,
70,3118,6213,2191,11179,2025-03-15 16:20:57,WITHDRAWAL,833828.08,Korhogo,0,
71,1156,2333,2971,19857,2026-05-06 04:20:00,WITHDRAWAL,8319.2,Abidjan,0,
72,1537,3097,3912,5277,2025-12-01 05:48:18,TRANSFER,938960.54,Abidjan,0,
73,7591,15199,2662,9435,2025-11-23 09:09:13,TRANSFER,742545.48,Korhogo,0,
74,4129,8234,2118,725,2026-06-18 17:07:36,WITHDRAWAL,211024.34,Yamoussoukro,0,
75,3384,6745,2044,13395,2026-05-31 06:29:27,WITHDRAWAL,505656.35,Abidjan,0,
76,3824,7612,2264,9978,2025-05-07 20:28:31,DEPOSIT,92752.32,Abidjan,0,
77,6638,13297,2268,9852,2025-10-22 09:44:02,TRANSFER,4043.92,Yamoussoukro,0,
78,7721,15473,3007,15838,2024-12-27 07:37:44,DEPOSIT,162001.19,San Pedro,0,
79,5212,10400,572,2449,2026-01-29 05:16:51,PAYMENT,561126.41,Bouake,0,
80,7577,15171,3907,14000,2024-09-22 23:42:43,WITHDRAWAL,545817.49,Bouake,0,
81,2534,5090,2472,14760,2024-09-04 13:20:18,PAYMENT,430071.82,Abidjan,0,
82,6285,12566,2745,9285,2025-12-26 13:57:06,TRANSFER,898975.17,Abidjan,0,
83,258,510,1979,11646,2025-01-23 23:26:30,DEPOSIT,354001.8,Bouake,1,Unknown device
84,8901,17871,2547,94,2026-03-23 10:08:54,TRANSFER,864673.39,Abidjan,0,
85,3585,7132,567,9390,2025-03-12 17:41:33,WITHDRAWAL,179770.98,San Pedro,0,
86,9607,19326,2595,13689,2024-09-30 22:32:24,TRANSFER,802334.02,Abidjan,0,
87,6654,13330,3628,760,2026-05-26 07:23:16,PAYMENT,382850.45,Bouake,0,
88,3397,6767,3980,17517,2025-01-27 18:38:47,DEPOSIT,199973.04,Bouake,0,
89,8649,17349,2039,2917,2026-06-03 23:32:10,TRANSFER,223312.09,Yamoussoukro,0,
90,9300,18696,1451,9296,2024-10-17 09:54:47,WITHDRAWAL,864420.77,Korhogo,0,
91,5513,11025,3702,10131,2025-05-22 05:10:35,WITHDRAWAL,399978.55,Abidjan,0,
92,1443,2905,1204,7995,2025-03-03 20:54:48,WITHDRAWAL,877099.89,Yamoussoukro,0,
93,4137,8251,2000,8633,2025-07-18 03:17:26,DEPOSIT,38738.07,Yamoussoukro,0,
94,9745,19602,33,7257,2025-12-06 17:07:36,PAYMENT,436675.69,Korhogo,0,
95,8869,17810,1289,15901,2026-05-09 20:03:19,PAYMENT,190483.74,Abidjan,0,
96,1611,3256,1263,6554,2025-05-10 08:04:29,TRANSFER,520160.39,Abidjan,0,
97,6468,12951,3388,7295,2024-12-04 07:12:07,WITHDRAWAL,948900.05,Abidjan,0,
98,6569,13154,1215,16300,2025-05-14 11:47:00,WITHDRAWAL,719894.39,San Pedro,0,
99,8541,17141,2799,15919,2025-05-02 21:50:09,WITHDRAWAL,326519.81,Bouake,0,
100,2763,5538,3259,19010,2025-01-09 16:36:14,DEPOSIT,420736.11,Bouake,0,
101,3176,6330,825,4136,2026-01-02 12:04:50,WITHDRAWAL,615707.16,Abidjan,0,
102,5008,10007,3034,13935,2025-02-23 07:56:14,TRANSFER,304223.01,Korhogo,0,
103,4651,9285,3515,18779,2026-01-27 01:59:19,WITHDRAWAL,606858.24,San Pedro,0,
104,603,1203,2608,11084,2026-07-28 11:37:01,DEPOSIT,675789.42,Bouake,0,
105,8522,17102,3797,11627,2026-01-12 21:21:43,WITHDRAWAL,659021.32,Korhogo,0,
106,1562,3149,2833,10479,2025-12-16 07:21:54,TRANSFER,335520.66,Bouake,0,
107,3528,7022,2439,11056,2024-09-24 10:08:57,TRANSFER,806659.61,Bouake,0,
108,1557,3138,2524,478,2025-11-16 02:08:05,PAYMENT,983944.05,Korhogo,0,
109,9819,19749,2380,15364,2025-12-06 03:57:47,DEPOSIT,194838.02,Bouake,0,
110,1024,2058,1728,15261,2024-12-10 21:21:56,PAYMENT,147997.56,Abidjan,0,
111,4213,8399,4622,16935,2025-09-18 20:11:56,TRANSFER,778531.2,Korhogo,0,
112,151,296,3120,15454,2026-02-17 07:01:07,TRANSFER,464817.61,Abidjan,0,
113,8347,16763,4290,18524,2025-02-06 02:42:59,DEPOSIT,456733.59,Korhogo,0,
114,6928,13894,2894,11649,2024-12-04 21:09:11,DEPOSIT,595654.59,Korhogo,0,
115,1406,2828,1572,11374,2025-07-25 00:15:53,DEPOSIT,427027.39,San Pedro,0,
116,1200,2425,2004,12799,2025-05-21 16:40:19,TRANSFER,450344.72,Yamoussoukro,0,
117,1935,3899,3908,6077,2025-02-25 15:18:07,DEPOSIT,765930.78,Yamoussoukro,0,
118,9151,18394,1827,4595,2026-07-19 17:39:06,WITHDRAWAL,440152.66,Yamoussoukro,0,
